1000 5000
RuvoDiPuglia Savelli 549.41
Montegridolfo StazioneMontalto-Coretto 1657.19
CasalCermelli FornaciDiBarga 561.98
Brognaturo MuroLeccese 823.6
Gravellona Sagnino 136.71
Rodero VillaFontana 928.64
Camponogara PianoDiMommio 845.08
SanGiovanniGemini Terruggia 3543.31
Carona Petrosino 1727.32
Curinga Lumezzane 3439.43
MontePorzio StellaCilento 1683.7
MonteMiglioreLaSelvotta Vistarino 1946.77
Confienza Sospiro 560.5
Contrada Soldano 1158.26
FoianoDellaChiana Sarno 707.3
Pellaro SantaCristinaValgardena 2719.41
Andalo Strigno 70.58
Firmo LidoAdriano 346.97
Leonessa Onano 84.6
CastelloDiGodego Cecina 328.52
Aielli Villair-Amerique 2072.35
Castelbelforte Viadana 147.45
CannetoPavese Sairano 90.39
Melpignano PettorazzaGrimani 2367.22
Bessude Grantola 1194.15
CapoD'Orlando SanSevero 1518.48
Idro Magomadas 1111.42
Cassinelle-Concentrico SanNazzaro 937.93
CuraCarpignano Sava 1543.06
Palanzano Stintino 1628.68
Maretto SamMarino 545.24
Esanatoglia SanLorenzoNuovo 230.74
PietraMarazzi VillaFontana 1262.82
SanGregorioNelleAlpi Santerno 385.56
Cissone PieveDelCairo 126.12
BarrieraDiMilano ColleCampano-Scrima 545.86
Colturano Zuclo 92.8
BorghettoDiBorbera Montenerodomo 483.82
BadiaPolesine Biandronno 173.41
Cedrasco Trevi 1478.43
Manerbio Poggiorsini 1178.13
Magomadas SanSevero 1438.93
Bogogno TuoroSulTrasimeno 693.21
Montegaldella Motteggiana 90.54
Conscenti Portalbera 208.18
Catenanuova Onè 2522.66
Arrone Scansano 198.47
Mattarello Zogno 588.17
Foglizzo VillaCastelli 4025.46
BadiaPavese PramaggioreBlessaglia 1271.97
BorghettoSantoSpirito Valfenera 263.02
LugagnanoValD'Arda Pegolotte 607.92
Valdieri VaranoBorghi 208.44
BaldisseroTorinese LonatePozzolo 209.45
Cimadolmo Pietrapertosa 1246.85
Braies Civitavecchia 703.78
Santerno Verdello 959.46
Campertogno Peseggia-Gardigiano 1777.96
Darfo Pernumia 348.81
Cepagatti Melpignano 1146.21
Casalbuttano CerretoLanghe 392.43
Petrosino Portalbera 1348.85
Castelcucco Pomezia 1343.36
Cassinelle-Concentrico Vervio 741.58
Cassacco Roccamonfina 2050.7
LonatePozzolo SanFerdinandoDiPuglia 1912.37
Confienza StellaCilento 686.8
BellanteStazione Cepagatti 90.97
Madrano-Canzolino SanGabriele-Mondonuovo 433.41
Massanzago-Ca'Baglioni-SanDono Montegridolfo 771.2
Sestola Soldano 1334.52
Candiolo Stigliano 3022.41
CasalettoLodigiano SanFelice 834.48
Bogogno Giacalone 604.9
SanGabriele-Mondonuovo Spadafora 2682.76
MadonnaDelSasso Pomponesco 525.61
Cene SanMauroTorinese 540.72
Petriano PonteGaleria-LaPisana 389.98
Borgoforte MezzanaRabattone 241.41
Cammarata Terrasini 214.06
Assemini MorroneDelSannio 778.33
Aidone Cervesina 1525.88
Cascinare SanMauroTorinese 355.93
SanGiovanniDiGerace VillaFornace 2643.38
Castelbelforte Foggia 2036.3
DonniciInferiore SanLorenzoNuovo 651.44
CervareseSantaCroce Quartiano 775.5
CaprinoVeronese MontorioAlVomano 1228.31
Cedrasco Lettopalena 974.67
PerosaArgentina Tolentino 1808.25
MelitoDiNapoli Sassinoro 35.24
Campli MontorioRomano 291.52
Caldarola Pianoro 674.41
Fondo Mapello 713.3
Pompei Pontebba 908.72
SanFiorDiSopra Sefro 474.62
LongoneSabino Pontebba 675.67
CastelnovoBariano CastelnuovoParano 1637.31
Nerviano Sant'Apollinare 2538.53
Mentana Pietragalla 591.05
Ottiglio Pompei 969.66
Niardo Thiene 346.28
CostaLambro Tornata 329.32
Foligno Vimercate 655.44
Siliqua Villamassargia 32.71
Kamma PianaSanRaffaele 1042.37
Bobbio LongoneSabino 877.82
Calamonaci SantaMariaNavarrese 1398.33
Settala Villassio 221.01
BorghettoDiBorbera Milis 1675.67
FiumefreddoSicilia LongoneSabino 1944.53
Sezzadio Suni 959.2
Spinetoli Strudà 1563.51
Monteverde Pietralunga 1711.21
Magomadas SanNazzaroSesia 2148.44
Albignasego Visciano 1952.91
CastelnuovoDiFarfa Conscenti 615.26
Dogliola Onzo 1549.51
BassanoBresciano Foglizzo 990.66
Onanì Soiano 1245.79
MuroLeccese RossanoStazione 455.32
Leno SanZenoneAlPo 273.06
ConcordiaSullaSecchia Muravera 1303.03
Falerone Pompei 902.52
Progresso SanMauroPascoli 414.1
Crema Marconia 2810.09
DolegnaDelCollio Mamoiada 938.44
Pradamano Stintino 2896.84
Bannio Zuclo 555.28
Manerbio Parre 225.36
BarbaranoRomano SommaVesuviana 1201.22
Bulgorello PonteRonca 1055.14
Cremolino Torregrotta 826.9
Catenanuova NoventaVicentina 3541.12
BarrieraDiMilano Siddi 1244.09
Broni VolpagoDelMontello 1220.06
Bandito SolignanoNuovo 905.31
FornaciDiBarga Nicosia 3045.42
BagnoARipoli Prizzi 2446.34
Campomaggiore Prepotto 1743.73
ContessaEntellina Durazzano 1209.17
Cucciago SanFelice 555.93
LignanoSabbiadoro Pievepelago 322.09
Alberi SanMauroTorinese 817.1
Lavenone Vignola 162.74
Antey-Saint-Andrè Peseggia-Gardigiano 392.83
Breno SanLorenzoInCampo 1084.38
Scansano Terrarossa 480.09
Maerne TaibonAgordino 60.58
ConcordiaSullaSecchia Pellaro 1629.69
Caravate PrataDiSotto 432.99
Andali Genuri 1291.57
CannetoPavese LimoneSulGarda 195.31
Malalbergo Niardo 168.61
Ostana Thiene 731.92
Ottaviano Sant'EgidioAllaVibrata 670.75
Calvignasco CerroTanaro 315.28
Canalicchio Sant'ArcangeloTrimonte 1016.63
Beinette CasaleCorteCerro 400.49
Cerano SanFerdinandoDiPuglia 1760.73
Esanatoglia IstiaD'Ombrone-LeStiacciole 790.87
Borgoforte Ponzano 449.53
NoventaVicentina SettimoMilanese 261.84
Genzone SanMauroTorinese 231.0
Bobbio Valenzano 3556.42
BarbaranoRomano Santerno 949.78
Anela Milis 120.22
RosignanoMarittimo SantoStefanoRoero 868.53
MacchiaD'Isernia Toirano 2183.49
Maretto Tavoleto 1597.39
Forlimpopoli Roncello 1227.05
Marsala Porto 613.73
Olmeneta Pietrapertosa 613.44
Ghiffa Imposte 473.8
LeForna Trebbo 751.65
AzzanoDecimo MonteArgentario 452.25
Montagne Palagianello 2134.62
BagnoRoselle Breno 381.72
StradaInCasentino Thiesi 1079.84
Imposte Tavarnuzze 389.05
Rebaudengo Suvereto 472.5
Frattaminore SanPietroCapofiume 1331.94
TrezzoTinella Vandoies-Vintl 338.19
Lauriano Onano 307.14
Castelcucco Samone 1680.3
Cantagallo Vaiano 26.22
Quartiano Sant'AngeloMuxaro 1495.25
Fluminata Sant'AntonioAbate 212.69
Cunettone-Villa Setteville 967.29
Castelbelforte CastelfrancoEmilia 277.95
Piano PiazzaBrembana 2620.77
CastiglioneOlona Piangaiano 75.64
Mammola Tettorosso 3985.49
Canelli NoviLigure 92.86
CastelRitaldi Sant'EgidioAllaVibrata 442.74
Milis Nociglia 718.36
SanBassano VillaCastelli 617.22
SantaGiuletta Taverna 2093.91
Genzone Sassinoro 2870.78
Siliqua Vandoies-Vintl 977.3
Como Portacomaro 229.21
Giuncugnano VillaFontana 505.04
BorghettoSantoSpirito SanPietroMussolino 825.26
FornaceZarattini SantoStefanoQuisquina 2430.22
Carceri Tonengo 1565.76
Castelcovati Quassolo 430.64
Baradili Marcallo 2106.16
ArcinazzoRomano SanNazario 298.54
PolpenazzeDelGarda Riccia 1308.67
Campertogno Miggiano 2912.95
Firmo Paladina 3786.56
Casalborgone Pescantina 717.6
Caltana Colleranesco 1457.19
CastelnuovoDiFarfa Monteviale 972.04
Boretto Piea 954.1
Soiano VillaDiSerio 282.73
AzzanoDecimo CollaltoSabino 1397.08
Oliena Ostana 2130.7
Ponzano Resana 50.63
CasaleCorteCerro GricignanoDiAversa 1839.44
Calatafimi SantaCristinaValgardena 1369.46
Cimadolmo MontorioAlVomano 390.44
MuroLeccese RocchettaNuova 546.82
Scerni VillaDiSerio 1597.55
Busachi Fonteno 1893.15
Rezzato VillapianaLido 960.49
RomettaMarea SanLorenzoNuovo 983.4
Pianoro Sassinoro 1282.48
Chieve SanBenedettoUllano 3033.58
Acri Pettineo 710.24
Amica MontaltoDelleMarche 641.33
Agra CastelloTesino 439.71
FiumefreddoSicilia Milis 2224.8
MonteleoneDiPuglia PerosaArgentina 1690.76
ConcordiaSullaSecchia Suni 896.44
Sarno Suelli 710.47
RoccellaValdemone Trevenzuolo 798.37
Ailano Capitignano 268.12
BassanoBresciano Merano 468.76
Grantola Roburent 229.92
Bistagno RiesePioX 830.32
Castelsaraceno SclafaniBagni 1204.21
ConcordiaSullaSecchia Ossi 2040.62
Rombiolo Sairano 3837.29
Viadana VillaCarcina 114.04
Cominio TaibonAgordino 1482.9
Carrodano Tufino 1030.61
Barra Monteviale 1473.85
Acri SambucaDiSicilia 1033.44
CampoJemini RocchettaNuova 384.91
MarinaDiFuscaldo Venticano 368.79
Calatabiano Montesegale 2224.41
CountryPark Mombasiglio 1279.12
Contrada MornicoLosana 926.3
Maclodio Onano 475.8
Casignana ForteDeiMarmi 1448.69
Spinete Tornata 604.3
BorgaroTorinese FrancavillaD'Ete 1112.35
Cene Valenza 231.08
Calizzano SanMauroTorinese 182.4
Cantagallo PiazzaBrembana 768.02
SanSosti Vaiano 1849.41
Afragola Contrada 88.04
Ghislarengo Roburent 411.21
MarinaDiSchiavonea Venticano 500.15
RiesePioX ViglianoD'Asti 721.9
Casciago Maschito 797.81
CassanoIrpino Triggiano 554.46
Moiola Stigliano 2215.3
SambucaDiSicilia Sefro 306.7
Precenicco Spadafora 3058.25
Ostana RosignanoMarittimo 1227.84
LimoneSulGarda ValeggioSulMincio 150.97
Ailano Calatafimi 976.43
PuntaMarina Tolentino 210.4
Foglizzo Prati 1529.29
BarrieraDiMilano Tufino 2461.87
Cerva Pray 2398.29
FalernaScalo SanTerenzo 1905.59
Piattoni-VillaSant'Antonio Zerbolò 1368.15
Forchia Trevenzuolo 771.01
Bagnoli Longhi 1122.95
Capua Pomponesco 2204.08
CastelnuovoDiValDiCecina Perledo 1269.4
Leonessa Polistena 1699.7
Cornovecchio Toirano 201.86
Bertiolo Fontanella 957.78
CuraCarpignano Manduria 3452.89
Ailoche Trebbo 732.38
FontanetoD'Agogna Pomezia 1980.43
CasascoIntelvi CountryPark 2035.59
MacchiaD'Isernia Pietragalla 315.69
Carnate Montalenghe 554.65
CandiaLomellina CornedoVicentino 238.51
Paladina SamMarino 648.95
BariSardo CittàDellaPieve 939.5
Campodarsego Massanzago-Ca'Baglioni-SanDono 30.57
OrioAlSerio Revere 94.32
Cucciago Rodero 70.89
NoventaVicentina Teverola 1096.84
CerroTanaro SanBassano 291.14
CassanoDelleMurge Terruggia 1644.51
Ailano Campli 526.38
Marconia PieveDelCairo 3544.37
Ciminna StradaInCasentino 2042.8
Magomadas Venticano 2140.88
Teverola Tufino 124.74
Biandronno Cras 838.76
Gallicchio Pettineo 1054.15
Andalo Siddi 1557.79
CastelloDiGodego SoglianoCavour 2498.13
SanGiuseppeLePrata-Cotropagno VillaCarcina 2138.03
Bogogno Follina 944.91
Bergeggi Craveggia 553.79
Carchitti Troia 177.12
Bulgorello Valenza 56.56
Pozzilli Sefro 615.57
Anela Moglia 1392.42
Albignasego Crognaleto 1330.99
Caspoggio Cras 1571.51
CaprinoVeronese NoviLigure 495.55
FalernaScalo Pianoro 2410.7
Candiolo IsolaDelLiri 1024.66
Rebaudengo VerruaPo 504.37
CapoD'Orlando SanteMarie 1450.28
NoviLigure Porto 2068.85
MorroneDelSannio SanMauroTorinese 2737.62
Casignana Cosniga-Zoppè 1411.78
Calizzano Cremolino 219.81
Pontelatone SanGiulianoDelSannio 174.09
Cagnò SoglianoCavour 1215.15
CostaLambro MugnanoDiNapoli 2133.92
Aidone Catenanuova 40.63
Bormio Comeana 965.85
CoregliaLigure Propata 13.47
Erbezzo Stintino 2055.54
Montiglio Voltana 930.95
Gandino Grantola 75.09
Osasio Rodero 124.98
Borgoforte MaglianoInToscana 612.12
Cucciago SanLorenzoNuovo 765.07
Cerva Grottolella 565.61
CasamicciolaTerme SanGiuseppeLePrata-Cotropagno 160.83
FrassoTelesino Salgareda 2004.54
MonteArgentario Trecenta 430.21
Calasca-Castiglione SpignoSaturniaSuperiore 1879.2
SanGiorio Teverola 2530.16
LimoneSulGarda Presicce 3724.19
CassanoIrpino Franche 231.96
Cellole Maccagno 1013.12
Campospinoso CivitanovaMarche 880.32
Briosco PiazzaBrembana 127.16
Esanatoglia LidoAdriano 180.4
Conscenti NoventaVicentina 798.13
Alife Colleranesco 267.36
Castelcucco Pioraco 702.52
Cartura Feisoglio 606.03
BagnoARipoli SantaMariaNavarrese 1147.57
Frattaminore Settala 2048.76
FavaleDiMalvaro Montegaldella 802.52
Gavi Girifalco 1100.6
CampagnolaEmilia CollaltoSabino 641.55
CampolongoAlTorre-Cavenzano Follina 144.4
Allai FalernaScalo 2243.52
Casavecchia Miggiano 1640.84
Lauriano RocchettaNuova 1244.62
Sant'Antonio Troia 862.15
Fiumalbo-Dogana Mezzenile 608.3
Casalzuigno Prizzi 3460.47
Genzone SantaGiuletta 42.43
BadiaCalavena CastelfrancoEmilia 231.3
Civitavecchia Pray 1434.75
Peseggia-Gardigiano Resana 62.34
Strudà Torpè 2927.34
Milis MontorioRomano 440.23
Centrache Foggia 594.57
Lessona Pietrapertosa 2492.56
Esanatoglia Vieste 1512.92
Ponzano SanGabriele-Mondonuovo 297.5
Dosso Dovera 469.38
Esanatoglia Sefro 19.12
Lavenone Ostana 1455.11
Palaia Settala 480.88
Mondolfo Nerviano 1079.28
PuosD'Alpago SantaMariaImbaro 444.07
Fonteno Montenerodomo 1342.58
Prizzi Saletto-SanBartolomeo 3232.65
Brescello Soiano 97.82
Imposte Parre 948.58
Forchia MontePorzio 330.62
MezzanaRabattone TuoroSulTrasimeno 1556.63
FiglineValdarno RivaltaDiTorino 1061.9
Fossò Toritto 361.79
Casalzuigno Torriana 1094.12
Cepagatti Lettopalena 23.9
Cagli Campomaggiore 629.75
FabroScalo Gabella 518.53
Centrache SanPietroMussolino 955.1
SanGregorioNelleAlpi Vervio 269.99
MontecalvoInFoglia Sant'AndreaInCasale 32.9
Alife ArcinazzoRomano 588.98
Bagnolo RossanoStazione 1952.85
Cissone MezzanaMortigliengo 307.54
Paladina Ruda 1642.51
AlbanoLaziale Pradamano 328.51
Calasca-Castiglione Mendicino 1554.87
MilanoDue Teramo 493.03
Andali SanFerdinandoDiPuglia 154.91
IstiaD'Ombrone-LeStiacciole Spirano 366.36
RoncoCanavese Taio 627.19
FrancavillaD'Ete SanBenedettoBelbo 1626.6
Bisacquino SanteMarie 1587.06
Gavignano MontaltoDelleMarche 194.72
Lauriano Villaverla 1113.57
FiumefreddoSicilia SantoStefanoQuisquina 499.36
Aielli Palaia 823.54
Galatina Vallà 774.63
Ghiffa Petriano 1101.33
Gavi Maschito 1423.96
Madrano-Canzolino Montenars 757.31
Candelù SoveratoSuperiore 1252.59
CostiglioleSaluzzo RovelloPorro 207.68
Gravellona LeForna 1317.2
Colorina Lentigione-SorboloAMane 371.68
Basiliano Braies 491.24
Cammarata PietraMarazzi 2726.81
Agra GiaccianoConBaruchella 1014.18
CerretoLaziale Cissone 1309.65
Piattoni-VillaSant'Antonio SantaMariaNuova 470.81
BellanteStazione Grosseto 293.77
Curinga Troia 306.52
Pievepelago SanNazzaro 1369.52
Ciminna Scheggino 1852.05
CasalettoLodigiano Caspoggio 201.65
Mercallo SanBenedettoUllano 1740.43
Folzano PianaDegliAlbanesi 1826.93
Condofuri Terrasini 500.59
AlìTerme Visciano 202.27
Larino SanGiovanniDiGerace 1510.33
Aviatico Mattarello 401.44
BorghettoSantoSpirito Ozieri 822.16
PonteRonca Sant'Ippolito 471.75
Cerva Rombiolo 61.9
Mammola StazioneMontalto-Coretto 403.63
AlbanoLaziale Portigliola 448.51
SanLorenzoAlMare Valnegra 414.79
Baragiano CollaltoSabino 1291.87
Marconia Sarno 605.21
Mendicino SanFratello 608.63
Allai Venticano 2659.08
Aviatico Gorreto 159.73
Paladina Stigliano 1754.15
Ponzano Udine 190.2
Cesinali Pianoro 673.78
Dosolo Torriglia 665.94
AlbanoLaziale Fluminata 504.2
BorgaroTorinese TuoroSulTrasimeno 1843.31
Ferrandina SantaMariaNuova 434.95
Aielli Suelli 698.75
CastelnovoBariano SantaBrigida 739.9
Calatabiano SanGiorgioInSalici 2271.48
Colturano MezzanaRabattone 82.31
SanSevero Venticano 213.01
SanGiovanniDelDosso SommaVesuviana 1964.55
Carema Crespadoro 1147.84
Fiumalbo-Dogana OleggioCastello 1058.93
PonzanoDiFermo TorreDelGreco 1008.49
RomettaMarea Strigno 1698.58
Pompei Sassinoro 54.78
Cerva MacchiaD'Isernia 806.71
Bobbio VolpagoDelMontello 377.41
BadiaCalavena CastelGuelfoDiBologna 301.5
CasalCermelli Portigliola 4170.59
Crema Fragagnano 2281.4
Cunettone-Villa Manduria 3839.27
Patti SelvaDeiMolini 3956.3
Dosolo Monzambano 116.09
CastelnuovoDiFarfa MombelloDiTorino 937.83
Montiglio VolturaraIrpina 838.44
Sava Thiesi 2871.84
Buonvicino Colorina 3393.17
Amato IsolaDelLiri 368.87
Formigliana Gabella 779.27
CittàDellaPieve Morgex 1465.3
Dosolo Mesenzana 851.98
BrindisiMontagna Traves 3141.88
Montegioco Sezzadio 132.74
Anela Gravellona 806.79
Casciago Magomadas 1909.47
Teramo Valfenera 2684.22
Lentigione-SorboloAMane Olmeneta 239.93
Lustra Pianoconte 467.32
Murisengo Resana 1516.07
SammicheleDiBari VillaFontana 1168.87
Carema CasaleCorteCerro 199.86
Bistagno Piano 2712.16
Torchiarolo Trinitapoli 347.23
Buscoldo CivitanovaMarche 1534.93
BelvedereSpinello Brogliano 1482.76
CaprinoVeronese Maerne 325.45
Gorreto LongoneSabino 1408.68
BagnoliDiSopra FrancavillaD'Ete 626.59
Amica Costarainera 1718.53
MontecalvoInFoglia Trinitapoli 1559.54
Prepotto Roccamonfina 483.05
Casavecchia Stintino 794.14
Onanì PrignanoSullaSecchia 1310.74
SantaMariaNavarrese Traves 715.84
Erbezzo Nociglia 3878.19
Mondolfo Visco 527.57
Niardo Visco 1157.64
Amato Collesano 420.58
PozzaglioEdUniti VolturaraIrpina 2531.71
Loiano Vercana 927.62
Imposte PolizziGenerosa 2052.29
Monteflavio Sorico 1074.15
Portacomaro Vervio 824.69
Cassacco SanNazzaroSesia 856.97
Cerano FerraraDiMonteBaldo 635.48
Ardara PianoDiMommio 1170.02
Civitaluparella PozzaglioEdUniti 1096.57
Castroreale Sairano 2803.01
Antey-Saint-Andrè SanMarcoD'Alunzio 694.08
CastelnuovoDiValDiCecina Fontanella 609.68
Pompei RovelloPorro 2082.3
Fondi Monticchio 177.89
Fanna Genoa 1590.95
BagnoRoselle Erbezzo 353.95
Briosco LongoneSabino 523.06
Marcallo Trevenzuolo 566.38
Franche Imposte 486.27
Fluminata Leno 1311.01
BagnoARipoli CassanoDelleMurge 2079.47
FornaceZarattini Suelli 517.52
Monselice Pievepelago 575.62
BarrieraDiMilano Broni 343.23
MonteneroDiBisaccia Toritto 771.95
Malalbergo Montefiascone 290.28
CastelloDiGodego Valenza 950.91
Aidone Pomezia 1700.59
FagnanoCastello LongoneSabino 412.1
Bonea Ottaviano 20.03
Forlimpopoli SanPoloDeiCavalieri 885.81
Resana Trevenzuolo 465.02
PuntaMarina Thiene 537.45
Civezza ForteDeiMarmi 581.54
Mazzano Monticello 349.01
Bagnoli Soldano 1629.96
GrisignanoDiZocco Scansano 845.74
MontorioRomano Pernumia 495.54
Pray TrescoreBalneario 683.49
AlbanoSant'Alessandro Portigliola 1298.31
Muros StradaInCasentino 1698.99
Bertiolo RoioDelSangro 1628.52
CerretoLanghe Toritto 704.79
Contrada Vervio 2085.68
MacchiaD'Isernia Mammola 552.66
RomettaMarea Sefro 1672.15
Marco Sant'AndreaApostoloDelloIonio 1302.17
Moglia Sefro 320.06
BadiaPolesine Savelli 808.06
Gragnano ProgettoCaseSassaNsi 157.86
Arona BelforteMonferrato 406.23
NoventaVicentina Serdiana 987.34
Carsoli Onzo 397.9
Alba CaliceLigure 240.96
Casalbuttano Ronago 406.78
Fragagnano SantaMariaImbaro 660.48
FornaceZarattini Ruda 391.04
LimoneSulGarda NoviLigure 383.78
Nociglia Pianoconte 1253.03
Montalenghe Tonengo 77.25
Osasio VillaFontana 1611.8
Cornovecchio ForlìDelSannio 1572.73
Nerola Piangaiano 1068.94
SanLuca ValeggioSulMincio 1472.3
Carmignano Vacone 682.83
CollaltoSabino Vervio 1690.12
Falerone SanGiovanniGemini 426.21
CittàDellaPieve Villagrande 472.33
CastelRitaldi Torrebelvicino 624.05
Azzone Montefiascone 1480.82
Strigno Torpè 1830.05
PalmaDiMontechiaro SanPietroMussolino 2527.38
Mezzocorona Sorico 130.64
Porto Zuclo 2083.18
Piangaiano Pontelandolfo 2426.66
CaramanicoTerme Pistrino 909.16
Montechiarugolo SanFratello 1475.95
ArcinazzoRomano MontepulcianoStazione 499.06
Bagnoli Sanza 215.6
Grugliasco Sant'Apollinare 2568.84
Portalbera Roccalumera 1053.98
SanMauroDiSaline StagnoLombardo 92.19
Cunettone-Villa Falerone 630.13
Terruggia VillaVicentina 1540.57
Strudà Viadana 3822.69
Crone Mesenzana 144.79
Baradili Sant'ArcangeloTrimonte 2256.47
Erbezzo PonteAPoppi 783.46
Montiglio Pietralunga 1472.21
Spinetoli TrezzoTinella 1490.31
Pioraco Villassio 303.79
Milis SanteMarie 2191.94
Carovigno Paladina 2057.27
Prunetto Villair-Amerique 305.62
Lauriano Monselice 631.67
Dosolo RiesePioX 217.7
AlbanoLaziale Cassacco 543.46
Busachi Maccagno 1370.42
CorvaraInBadia SantaCristinaValgardena 32.61
Alberi SanBellino 280.65
Casto Monselice 507.2
Arrone Pievepelago 494.0
Bandito SpignoSaturniaSuperiore 984.6
Nicosia PiazzaBrembana 1936.4
CascinaElisa MirabellaImbaccari 3178.95
Buonvicino SanLeonardo 1609.8
Bagnasco Ottaviano 916.04
Castelbelforte MarinaDiFuscaldo 900.45
CostaLambro SanCristoforo 198.0
Fossò IsolaDelleFemmine 2290.76
ForteDeiMarmi Ripi 1029.7
CasamicciolaTerme Kamma 820.65
Grantola Taio 651.5
Cipressa Latiano 1981.0
CastelnuovoDiValDiCecina Montesegale 885.52
Carrodano CastellettoMerli 427.83
Casciago Crespadoro 1041.44
OleggioCastello Roncone 703.55
Berzantina Genga 158.1
ArcinazzoRomano CastelRitaldi 226.81
CampigliaCervo Torregrotta 865.78
Renazzo Viadana 347.66
Confienza Torchiarolo 3702.32
Lombardore Sant'AngeloMuxaro 3284.1
Lauriano Ozieri 1683.92
PavoneDelMella Sezzadio 688.85
Molinella Monticello 192.1
RoncoCanavese Spartimento 3074.58
Conselice CuassoAlPiano 1146.7
Boretto SettimoMilanese 646.5
Lettopalena Miggiano 747.01
Monticello PalmaDiMontechiaro 1646.91
Beinette CastelGuelfoDiBologna 944.38
Girifalco SanMauroAMare 868.64
Crema Ripi 393.64
FrancavillaD'Ete SanPoloDeiCavalieri 588.56
BarbaranoRomano Peseggia-Gardigiano 1403.13
Castagnito Confienza 106.98
Esanatoglia Montiglio 648.06
Palaia Villacidro 790.73
Latiano Mezzocorona 2070.55
Magomadas Ottaviano 2110.88
Torrebelvicino VolpagoDelMontello 317.29
Pistrino RonchiDiCampanile 863.7
Belvedere-PianoTavola Vacone 1899.09
Nerola Prunetto 914.4
Berzantina Resana 129.4
Carunchio Zumaglia 1328.47
CerroTanaro SanCostantinoCalabro 1947.95
Agra SilvanoD'Orba 194.72
CerroTanaro Foglizzo 142.89
Cannalonga CastelnuovoDiFarfa 400.23
Cucciago SelvaDeiMolini 698.18
Piangaiano Prunetto 475.01
CerretoLaziale Sassetta 867.4
Spadafora Spinetoli 799.41
Monselice Montegridolfo 625.57
Favari-Avatanei Montesegale 318.54
PietraMarazzi Polonghera 470.37
Bolognano-Vignole CampagnolaEmilia 87.77
Migliarina Povegliano 394.62
Baraggia SanteramoInColle 1915.17
Beinette Como 698.52
CandiaLomellina Cornovecchio 398.33
Bagnasco Tonengo 175.76
CampoDiCarne Trebbo 1401.89
Broni Stenico 666.35
Catenanuova SanGiovanniGemini 295.88
Cartura Mercatale-SanQuirico 511.54
Sassinoro Torriana 1304.4
Cene Colturano 250.75
AlbanoSant'Alessandro Capua 2737.81
Brogliano Valfloriana 110.89
Montefusco Quassolo 3138.36
Merano Treville 184.97
NizzaMillefonti Settala 140.33
CaprinoVeronese Vandoies-Vintl 173.54
Spadafora VillaFornace 3518.28
Corropoli Palagianello 1056.96
Campli Manerbio 1238.07
Eremo Zuclo 245.23
Bandito Portula 282.27
ColleCampano-Scrima Vita 697.64
Montalenghe Muravera 2168.45
PavoneDelMella SantaBrigida 289.31
Arielli TioneDiTrento 1476.15
Cagnò SanSosti 2192.5
StagnoLombardo Zuglio 575.17
BorgoSanPaolo Treville 263.89
Dovera VaranoBorghi 170.62
Belvedere-PianoTavola Firmo 878.05
Ozieri SoglianoCavour 1257.88
ProgettoCaseSassaNsi Saint-Christophe 2803.79
AlìTerme CastelGuelfoDiBologna 2593.44
Sairano VillaCastelli 3835.38
SanGiovanniDiGerace Sueglio 2531.18
Maclodio Migliarina 338.27
Maclodio Stigliano 1933.69
Biandronno Seveso 179.07
Pomezia Sergnano 1490.19
Carinola Monzambano 1347.21
Montefiascone RivaltaBormida 440.65
Onano Vervio 1586.22
BarbaranoRomano Futani 693.27
Pievepelago Rovagnate 381.21
Scansano StradaInCasentino 155.84
Calatafimi Sanza 863.57
MadonnaDelSasso Piscina 92.13
FabroScalo StradaInCasentino 222.38
Morgex SanGiorgioIonico 1619.48
Casto Dipignano 531.26
Civitaluparella Sezzadio 379.2
Ambivere Cossignano 905.55
Comeana SanBenedettoBelbo 675.21
FiglineValdarno Visciano 1556.36
Gaiba Lumezzane 324.21
Monteflavio VillapianaLido 757.93
CaliceLigure Civesio 520.46
Cicciano TrezzoTinella 2202.57
Monsano PonteGaleria-LaPisana 159.5
Collesano SanCostantinoCalabro 820.42
SantaMariaNavarrese TorreDe'Picenardi 1527.99
Bergeggi Thiesi 426.56
LeForna LignanoSabbiadoro 751.29
Larino Torrebelvicino 878.61
Oliena Perrero 1417.98
Caldes Molinella 501.59
Ronago VaranoDe'Melegari 296.83
LignanoSabbiadoro NaveSanRocco 456.06
Montechiarugolo SanBenedettoUllano 2307.64
Motteggiana Pietrapertosa 836.71
Cimadolmo Marconia 460.52
Lettopalena SanPietroMussolino 2009.62
Genzone Torpè 1099.39
CastiglioneOlona Oliena 935.35
Prignano Renazzo 108.06
Lauriano MonteMiglioreLaSelvotta 2456.72
Maschito Tettorosso 2057.61
Canegrate Nerviano 5.25
Piano Zumaglia 1307.47
Baraggia Formigliana 208.35
Ardesio SanLuca 4150.93
Padria SanJacopoAlGirone 1524.5
Giuncugnano Ponso 101.68
Belverde RomettaMarea 1932.5
Bolognano-Vignole Pomponesco 379.05
LimoneSulGarda Soldano 669.95
Mazzano Pietragalla 527.21
Rubiera SpignoSaturniaSuperiore 464.68
Erbezzo PianaSanRaffaele 419.82
Cepagatti Salgareda 1560.64
TuoroSulTrasimeno Udine 921.94
Bagnoli SantaGiuletta 2177.14
Calatafimi Muravera 1345.87
Piangaiano Progresso 478.56
Osasio Zerbolò 617.59
Boretto SanCristoforo 306.18
Bobbio RoncoCanavese 481.59
